Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.017,None,3.1467415091036415,6.436941964285714,5.048614758403361,0.7680869222689075,3.6235228466386555
3,00:00:00.033,0.18012387612387612,0.24660801820728293,0.05022321428571429,0.3332457983193277,0.06115414915966386,0.34542410714285715
4,00:00:00.050,0.24355694930061594,0.3492756477591037,0.10044642857142858,0.537421218487395,0.09233849789915967,0.4180672268907563
5,00:00:00.067,6.882348467564073,1.9803921568627452,4.520089285714286,3.3823857668067228,0.44629726890756305,2.1124934348739495
6,00:00:00.083,0.5193807564177935,0.3625043767507003,0.9793526785714286,0.4802389705882353,0.06046481092436975,0.5468093487394958
7,00:00:00.100,0.2716145582193762,0.192609856442577,0.3431919642857143,0.38507746848739494,0.03361344537815126,0.15913865546218486
8,00:00:00.117,0.35745224223868366,0.2695421918767507,0.8621651785714286,0.4532234768907563,0.06440388655462184,0.29099921218487396
9,00:00:00.133,0.2532625532164864,0.22407869397759106,0.39341517857142855,0.32586003151260506,0.05275078781512605,0.293625262605042
10,00:00:00.150,4.240315664487227,2.2370667016806722,2.3939732142857144,3.4984900210084033,0.48634453781512604,2.7263655462184873
11,00:00:00.167,0.7088429908527152,0.8398546918767505,0.8621651785714286,1.585576418067227,0.14613970588235295,0.7878479516806722
12,00:00:00.183,0.2676178584049947,0.7768075980392157,0.99609375,1.2063419117647058,0.16150210084033614,0.962578781512605
13,00:00:00.200,0.679441486431448,1.5013458508403363,2.494419642857143,2.1184020483193278,0.2940191701680672,2.0916163340336134
14,00:00:00.217,8.501119337590232,7.032431722689076,4.98046875,11.017988445378151,1.14453125,8.934775472689076
15,00:00:00.233,0.06789622209967375,0.1896117822128852,1.0965401785714286,0.18510372899159663,0.09312631302521009,0.29060530462184875
16,00:00:00.250,0.28046091069444873,0.8411786589635853,0.9040178571428571,1.4688813025210083,0.15355829831932774,0.9010963760504201
17,00:00:00.267,1.5004251273096294,1.7957261029411764,1.9001116071428572,2.7273174894957983,0.36616990546218486,2.293690913865546
18,00:00:00.283,2.1145142502135594,2.979319852941177,4.009486607142857,4.293067226890757,0.5919117647058824,4.052980567226891
19,00:00:00.300,0.3957386110368192,0.7771358543417368,1.23046875,1.1708245798319328,0.15011160714285715,1.0104713760504203
20,00:00:00.317,1.485444669995062,2.2219012605042017,2.9966517857142856,3.3065913865546217,0.46648503151260506,2.8926273634453783
21,00:00:00.333,0.6426639787589732,0.858094800420168,1.6322544642857142,1.4940257352941178,0.17827599789915966,0.9019826680672269
22,00:00:00.350,1.2942871703863141,1.368577118347339,1.4481026785714286,2.103532037815126,0.27068014705882354,1.7315191701680672
23,00:00:00.367,1.5224394084622757,0.9732471113445378,0.7449776785714286,1.6085215336134453,0.15231092436974789,1.1589088760504203
24,00:00:00.383,0.16283745554477852,0.17635022759103644,0.30970982142857145,0.26726628151260506,0.04447872899159664,0.21730567226890757
25,00:00:00.400,0.17751412144442205,0.15405068277310927,0.3431919642857143,0.22977941176470587,0.03223476890756303,0.20013786764705882
26,00:00:00.417,6.843294386329805,1.8360578606442577,2.3018973214285716,3.0291491596638656,0.3234309348739496,2.155593487394958
27,00:00:00.434,0.706527535678184,0.48563331582633057,0.15066964285714285,0.8591780462184874,0.0663405987394958,0.5313813025210085
28,00:00:00.450,0.1127477435340227,0.2571669292717087,0.234375,0.36374080882352944,0.04894301470588235,0.3588169642857143
29,00:00:00.467,0.2740963945373045,0.5021336659663866,0.26785714285714285,0.775702468487395,0.11121323529411764,0.6194852941176471
30,00:00:00.484,22.813539510049626,6.299796481092437,7.893415178571429,9.963793329831933,1.2537749474789917,7.681821165966387
31,00:00:00.500,0.1651481052693262,0.28524378501400555,0.8956473214285714,0.3601956407563025,0.0784204306722689,0.41711528361344535
32,00:00:00.517,0.03526596522580407,0.06002713585434174,0.20926339285714285,0.0938484768907563,0.018152573529411766,0.06808035714285714
33,00:00:00.534,0.3266318239041697,0.04684217436974789,0.0,0.06404280462184873,0.006597951680672269,0.06988576680672269
34,00:00:00.550,3.9673118279569897,0.17662377450980393,0.8454241071428571,0.19633009453781514,0.049501050420168065,0.28404017857142855
35,00:00:00.567,0.8405243279271273,0.05174413515406162,0.07533482142857142,0.08098082983193278,0.009125525210084034,0.06512605042016807
36,00:00:00.584,0.29719345138656866,0.0194655987394958,0.0,0.01798844537815126,0.0015756302521008404,0.038832720588235295
37,00:00:00.600,0.09020541827924979,0.0033153886554621852,0.0,0.002527573529411765,0.0017397584033613446,0.005678834033613445
38,00:00:00.617,0.7566755446288328,0.030308998599439776,0.07533482142857142,0.05278361344537815,0.004267331932773109,0.033876050420168065
39,00:00:00.634,0.8282456052985409,0.04549632352941176,0.46875,0.057379201680672266,0.007155987394957983,0.07195378151260504
40,00:00:00.650,1.7670995215814103,0.09194459033613446,0.39341517857142855,0.09470194327731092,0.00505514705882353,0.17607668067226892
41,00:00:00.667,1.2490927565684424,0.09415484943977591,0.39341517857142855,0.09483324579831932,0.005120798319327731,0.18251050420168066
42,00:00:00.684,0.370197410316281,0.03816526610644257,0.39341517857142855,0.029149159663865547,0.0017725840336134454,0.08357405462184873
43,00:00:00.700,1.428642373828295,0.12590817577030813,0.18415178571428573,0.17299107142857142,0.03459821428571429,0.17013524159663865
44,00:00:00.717,0.8544150521609537,0.10036983543417366,0.48549107142857145,0.11485688025210083,0.010832457983193277,0.17542016806722688
45,00:00:00.734,0.8610909090909091,0.11983543417366947,0.4771205357142857,0.1440060399159664,0.014246323529411764,0.20125393907563024
46,00:00:00.750,1.557393196655595,0.18597907913165265,0.12555803571428573,0.27215730042016806,0.032497373949579834,0.2532825630252101
47,00:00:00.767,1.1168182779775757,0.14441088935574228,0.025111607142857144,0.21179096638655462,0.03233324579831933,0.18910845588235295
48,00:00:00.784,0.8195772022369412,0.11305147058823528,0.15066964285714285,0.12408088235294118,0.04349396008403361,0.17157956932773108
49,00:00:00.800,0.7290053120311422,0.09835653011204482,0.025111607142857144,0.11196822478991597,0.0274094012605042,0.15569196428571427
50,00:00:00.817,1.0290631150167058,0.12300857843137257,0.06696428571428571,0.14607405462184875,0.06443671218487394,0.15851496848739496
51,00:00:00.834,1.3627742524644673,0.1592043067226891,0.06696428571428571,0.15726759453781514,0.0700170693277311,0.25032825630252103
52,00:00:00.850,0.720956678038223,0.10752582282913165,0.10044642857142858,0.05616465336134454,0.05219275210084034,0.21422006302521007
53,00:00:00.867,0.9010061437093757,0.13840379901960784,0.16741071428571427,0.1171875,0.054917279411764705,0.24310661764705882
54,00:00:00.884,1.3039794035962617,0.1759563200280112,0.32645089285714285,0.20289522058823528,0.06975446428571429,0.25521927521008403
55,00:00:00.900,1.2991247853344645,0.1717546393557423,0.15066964285714285,0.20483193277310924,0.06194196428571429,0.24849002100840337
56,00:00:00.917,0.8835735783304295,0.12206757703081234,0.30970982142857145,0.1056985294117647,0.046185661764705885,0.2143185399159664
57,00:00:00.934,0.3415053328615477,0.09240414915966384,0.5943080357142857,0.043592436974789914,0.0469406512605042,0.18667935924369747
58,00:00:00.950,0.33167458403568056,0.11249343487394958,0.20089285714285715,0.1052061449579832,0.05757615546218487,0.17469800420168066
59,00:00:00.967,3.1809393865283377,0.6760000875350141,0.6696428571428571,0.8442752100840336,0.19879201680672268,0.9849330357142857
60,00:00:00.984,1.7696509044088635,0.46620054271708683,1.4564732142857142,0.6420693277310925,0.11012998949579832,0.6464023109243697
61,00:00:01.000,0.4829658283073607,0.17896533613445378,0.7366071428571429,0.23575367647058823,0.0429030987394958,0.2582392331932773
62,00:00:01.017,0.3155420879461562,0.0863095238095238,0.5106026785714286,0.1447938550420168,0.01487001050420168,0.09926470588235294
63,00:00:01.034,1.92951651826579,0.25370929621848737,1.2890625,0.31821165966386555,0.05238970588235294,0.3905265231092437
64,00:00:01.050,1.6005920477226345,0.19523590686274508,0.033482142857142856,0.22091649159663865,0.033941701680672266,0.3308495273109244
65,00:00:01.067,0.3789160252146093,0.06544336484593838,0.52734375,0.07126444327731092,0.00469406512605042,0.12037158613445378
66,00:00:01.084,0.40826278360988827,0.08244704131652661,0.39341517857142855,0.09591649159663866,0.009946165966386554,0.14147846638655462
67,00:00:01.100,0.7606148385918213,0.15945596988795518,0.033482142857142856,0.18287158613445378,0.023174894957983194,0.27232142857142855
68,00:00:01.117,2.2948196848736093,0.38764880952380953,0.3431919642857143,0.48808429621848737,0.13888524159663865,0.5359768907563025
69,00:00:01.134,1.3003404155417302,0.30302433473389356,0.2845982142857143,0.4746914390756303,0.11790966386554622,0.31647190126050423
70,00:00:01.150,0.46137958324888284,0.13076636904761904,1.0630580357142858,0.20302652310924368,0.017069327731092435,0.172203256302521
71,00:00:01.167,1.4377281445276249,0.2542673319327731,0.19252232142857142,0.29221376050420167,0.07175682773109243,0.3988314075630252
72,00:00:01.184,1.4471101417666303,0.1887583158263305,0.07533482142857142,0.1912092962184874,0.04720325630252101,0.3278623949579832
73,00:00:01.200,0.5014222911817946,0.08486519607843136,1.0463169642857142,0.11426601890756302,0.008075105042016808,0.13225446428571427
74,00:00:01.217,0.31422603852401954,0.05185355392156863,0.0,0.043165703781512604,0.012375262605042016,0.10001969537815127
75,00:00:01.234,1.5869186947298164,0.18211659663865545,0.25111607142857145,0.20276391806722688,0.06010372899159664,0.28348214285714285
76,00:00:01.250,1.6973415132924337,0.20433954831932774,0.7198660714285714,0.19311318277310924,0.08363970588235294,0.33626575630252103
77,00:00:01.267,0.6437131557346467,0.11798625700280112,0.7952008928571429,0.05770745798319328,0.06529017857142858,0.23096113445378152
78,00:00:01.284,0.6902299018036655,0.1295955882352941,2.134486607142857,0.11262473739495799,0.059283088235294115,0.21687893907563024
79,00:00:01.301,1.4800283444597768,0.21710871848739496,1.1300223214285714,0.1908153886554622,0.09145220588235294,0.3690585609243697
80,00:00:01.317,1.4827764678819946,0.21159401260504204,1.0714285714285714,0.18858324579831934,0.09128807773109243,0.3549107142857143
